date,sku_id,product_id,product_name,category_l1,category_l2,brand,platform,shop_id,price,sales,is_promo,"collect_time"
2026-06-01,SKU0001,PROD0001,玉兰油运动装备 SKU0001,运动户外,运动户外,玉兰油,京东,SHOP_京东_0397,194.55,171,False,"2026-06-01 00:54:46"
2026-06-01,SKU0001,PROD0001,玉兰油运动装备 SKU0001,运动户外,运动户外,玉兰油,京东,SHOP_京东_0164,1014.49,81,False,"2026-06-01 08:25:12"
2026-06-01,SKU0001,PROD0001,玉兰油运动装备 SKU0001,运动户外,运动户外,玉兰油,拼多多,SHOP_拼多多_0007,2887.43,139,False,"2026-06-01 09:54:34"
2026-06-01,SKU0001,PROD0001,玉兰油运动装备 SKU0001,运动户外,运动户外,玉兰油,拼多多,SHOP_拼多多_0163,287.5,249,False,"2026-06-01 08:03:16"
2026-06-01,SKU0002,PROD0002,三只松鼠护肤精华 SKU0002,美妆个护,美妆个护,三只松鼠,淘宝,SHOP_淘宝_0381,197.62,135,False,"2026-06-01 14:40:51"
2026-06-01,SKU0002,PROD0002,三只松鼠护肤精华 SKU0002,美妆个护,美妆个护,三只松鼠,拼多多,SHOP_拼多多_0098,502.41,201,False,"2026-06-01 05:21:43"
2026-06-01,SKU0003,PROD0003,美的智能手机 SKU0003,手机数码,手机数码,美的,京东,SHOP_京东_0241,4578.53,142,False,"2026-06-01 19:46:28"
2026-06-01,SKU0003,PROD0003,美的智能手机 SKU0003,手机数码,手机数码,美的,淘宝,SHOP_淘宝_0127,3544.5,126,False,"2026-06-01 18:44:47"
2026-06-01,SKU0003,PROD0003,美的智能手机 SKU0003,手机数码,手机数码,美的,拼多多,SHOP_拼多多_0170,5177.51,88,False,"2026-06-01 10:06:02"
2026-06-01,SKU0004,PROD0004,海尔智能手机 SKU0004,手机数码,手机数码,海尔,拼多多,SHOP_拼多多_0280,6402.52,86,False,"2026-06-01 17:41:57"
2026-06-01,SKU0004,PROD0004,海尔智能手机 SKU0004,手机数码,手机数码,海尔,拼多多,SHOP_拼多多_0375,6333.18,182,False,"2026-06-01 13:18:17"
2026-06-01,SKU0004,PROD0004,海尔智能手机 SKU0004,手机数码,手机数码,海尔,拼多多,SHOP_拼多多_0462,8371.7,215,False,"2026-06-01 06:37:42"
2026-06-01,SKU0004,PROD0004,海尔智能手机 SKU0004,手机数码,手机数码,海尔,京东,SHOP_京东_0044,5444.34,244,False,"2026-06-01 13:54:34"
2026-06-01,SKU0004,PROD0004,海尔智能手机 SKU0004,手机数码,手机数码,海尔,淘宝,SHOP_淘宝_0454,4425.84,95,False,"2026-06-01 15:30:01"
2026-06-01,SKU0005,PROD0005,索尼日用商品 SKU0005,日用百货,日用百货,索尼,淘宝,SHOP_淘宝_0417,413.47,238,False,"2026-06-01 19:21:05"
2026-06-01,SKU0005,PROD0005,索尼日用商品 SKU0005,日用百货,日用百货,索尼,淘宝,SHOP_淘宝_0279,367.57,234,False,"2026-06-01 21:27:21"
2026-06-01,SKU0005,PROD0005,索尼日用商品 SKU0005,日用百货,日用百货,索尼,京东,SHOP_京东_0439,44.58,138,False,"2026-06-01 10:25:04"
